n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
354,683,310.4105665,0.000724016,0.256301715,59.66666667,337,0.160567757,75.15879782,300000,5.477121255
749,999,471.3435938,0.000655422,0.490911023,53.33333333,323,0.154659942,129.957968,300000,5.477121255
462,838,384.4255923,0.000870399,0.402124111,58.33333333,344,0.202962963,106.9154084,300000,5.477121255
537,883,344.3647893,0.000647491,0.347702407,59,406,0.197669109,92.68273238,400000,5.602059991
546,900,519.6095235,0.000659149,0.359895471,58.33333333,469,0.223090077,142.6969047,400000,5.602059991
639,1005,247.641798,0.000662065,0.423059642,59.66666667,590,0.231924828,77.66509406,400000,5.602059991
741,1048,302.3956627,0.000703033,0.520947194,59,525,0.250495964,85.93452786,400000,5.602059991
318,639,419.6281189,0.000985229,0.313302913,56.66666667,145,0.089701172,101.0597274,500000,5.698970004
693,1083,556.0197465,0.000580493,0.402281861,54.66666667,542,0.268775601,161.8979297,500000,5.698970004
920,1172,308.5783339,0.000511293,0.470389906,48.33333333,675,0.284242407,80.42048748,500000,5.698970004
947,1160,290.3425919,0.000543024,0.51424414,55,795,0.321413723,73.3891699,500000,5.698970004
268,555,350.2162383,0.000977785,0.262046465,57.33333333,168,0.097164279,84.52819675,600000,5.77815125
306,683,542.8988001,0.000896946,0.274465578,58,216,0.118941015,129.1454782,600000,5.77815125
1082,1264,341.0978297,0.000458606,0.496211528,54.33333333,679,0.29817331,87.22803274,600000,5.77815125
995,1160,346.9661062,0.000479805,0.477405754,56,558,0.292539683,89.88512401,600000,5.77815125
487,691,224.5996985,0.000619701,0.301794311,59,409,0.155993192,50.16630683,700000,5.84509804
501,768,285.7108716,0.000584663,0.292916326,54,467,0.179070876,67.19627922,700000,5.84509804
1221,1388,258.4641895,0.000430416,0.525537877,57.33333333,799,0.331950976,64.1157233,700000,5.84509804
967,1112,326.8296794,0.000484336,0.468353377,58.66666667,812,0.38205019,86.62195856,700000,5.84509804
652,874,472.3488495,0.000662253,0.431788962,55.66666667,283,0.175516629,104.9618035,800000,5.903089987
453,680,499.83945,0.000743149,0.336646654,49,184,0.133451147,111.050765,800000,5.903089987
967,1161,421.4759922,0.000508724,0.491936339,54.33333333,836,0.348231586,103.950148,800000,5.903089987
1252,1330,362.481914,0.000399068,0.499633689,55,998,0.426684054,111.0106621,800000,5.903089987
684,959,582.8773022,0.000556032,0.380325815,47.66666667,526,0.242566644,169.2820783,900000,5.954242509
453,836,467.4049981,0.000845976,0.383227299,50.66666667,399,0.209938307,126.0280846,900000,5.954242509
1223,1297,376.7298937,0.000438993,0.536888488,59.33333333,1014,0.397205763,115.8425609,900000,5.954242509
1380,1451,311.0953994,0.00038691,0.533936473,28,1015,0.452013867,100.5625988,900000,5.954242509
1353,1364,475.0893331,0.000408224,0.552327608,27,1068,0.48036928,135.8133896,1000000,6
1353,1364,475.0893331,0.000408224,0.552327608,27,1068,0.48036928,135.8133896,1000000,6
1353,1364,475.0893331,0.000408224,0.552327608,27,1068,0.48036928,135.8133896,1000000,6
1060,1096,549.7620662,0.000475078,0.503583049,29,834,0.406220948,155.476163,1000000,6
91,252,191.7077354,0.00175639,0.159831454,59.66666667,170,0.090617444,46.73254327,2000000,6.301029996
431,731,526.6683414,0.000698009,0.300841683,59.66666667,426,0.181043418,130.7211553,2000000,6.301029996
193,494,336.3935554,0.001239853,0.239291713,59.33333333,181,0.115826095,80.88078123,2000000,6.301029996
421,757,513.9240431,0.000765501,0.322276065,59.66666667,442,0.196837983,129.6288987,2000000,6.301029996
